experiment_id,iteration_limit,supply_point,spatial_category,turn_phase,player_turn_records,pieces_placed,unsecured_controlled_turns,secured_turns,controlled_or_secured_turns,unsecured_controlled_turn_share,secured_turn_share,controlled_or_secured_turn_share,neutral_turn_share,contested_turn_share,supply_usage_turns,objective_placements_supplied,distinct_game_player_objectives_supplied,legal_securable_opportunities,securing_events,securing_rate_per_repeated_opportunity
uct-10000-self-play,10000,S00,corner,early,1600,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0.0
uct-10000-self-play,10000,S00,corner,midgame,1600,2,6,0,6,0.00375,0.0,0.00375,0.9925,0.0,0,0,0,1,0,0.0
uct-10000-self-play,10000,S00,corner,late,1600,30,55,0,55,0.034375,0.0,0.034375,0.93125,0.005,5,5,3,14,0,0.0
uct-10000-self-play,10000,S01,edge,early,1600,1,5,0,5,0.003125,0.0,0.003125,0.99375,0.0,2,2,1,2,0,0.0
uct-10000-self-play,10000,S01,edge,midgame,1600,7,15,0,15,0.009375,0.0,0.009375,0.98125,0.00375,3,3,1,5,0,0.0
uct-10000-self-play,10000,S01,edge,late,1600,39,108,0,108,0.0675,0.0,0.0675,0.865,0.045,14,14,12,64,0,0.0
uct-10000-self-play,10000,S02,edge,early,1600,2,14,0,14,0.00875,0.0,0.00875,0.9825,0.0,6,6,3,6,0,0.0
uct-10000-self-play,10000,S02,edge,midgame,1600,8,45,0,45,0.028125,0.0,0.028125,0.94375,0.0,8,8,6,17,0,0.0
uct-10000-self-play,10000,S02,edge,late,1600,41,121,0,121,0.075625,0.0,0.075625,0.84875,0.065,13,13,10,80,0,0.0
uct-10000-self-play,10000,S03,edge,early,1600,1,7,0,7,0.004375,0.0,0.004375,0.99125,0.0,3,3,1,3,0,0.0
uct-10000-self-play,10000,S03,edge,midgame,1600,25,46,0,46,0.02875,0.0,0.02875,0.9425,0.03375,11,11,7,31,0,0.0
uct-10000-self-play,10000,S03,edge,late,1600,57,134,4,138,0.08375,0.0025,0.08625,0.8275,0.14875,16,16,15,136,2,0.014706
uct-10000-self-play,10000,S04,corner,early,1600,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0.0
uct-10000-self-play,10000,S04,corner,midgame,1600,5,3,0,3,0.001875,0.0,0.001875,0.99625,0.00375,0,0,0,1,0,0.0
uct-10000-self-play,10000,S04,corner,late,1600,24,28,4,32,0.0175,0.0025,0.02,0.96,0.0425,1,1,1,31,1,0.032258
uct-10000-self-play,10000,S10,edge,early,1600,2,7,0,7,0.004375,0.0,0.004375,0.99125,0.0,2,2,2,2,0,0.0
uct-10000-self-play,10000,S10,edge,midgame,1600,3,26,0,26,0.01625,0.0,0.01625,0.9675,0.0,5,5,4,11,0,0.0
uct-10000-self-play,10000,S10,edge,late,1600,33,113,0,113,0.070625,0.0,0.070625,0.85875,0.01625,18,18,15,48,0,0.0
uct-10000-self-play,10000,S11,interior,early,1600,156,235,23,258,0.146875,0.014375,0.16125,0.6775,0.2575,59,59,48,212,12,0.056604
uct-10000-self-play,10000,S11,interior,midgame,1600,85,228,157,385,0.1425,0.098125,0.240625,0.51875,0.5575,137,137,91,340,13,0.038235
uct-10000-self-play,10000,S11,interior,late,1600,65,229,247,476,0.143125,0.154375,0.2975,0.405,0.73125,129,129,94,390,8,0.020513
uct-10000-self-play,10000,S12,interior,early,1600,178,326,29,355,0.20375,0.018125,0.221875,0.55625,0.27,93,93,63,237,10,0.042194
uct-10000-self-play,10000,S12,interior,midgame,1600,70,266,182,448,0.16625,0.11375,0.28,0.44,0.56875,169,169,118,362,17,0.046961
